País,Proyecto,Tipo de Proyecto,Energía Generada (MW),Impactos Ambientales,Medidas de Mitigación,Medidas de Compensación,Medidas de Reparación,Año Ingreso Evaluación,Año Aprobación Proyecto
🇨🇱 Chile,Proyecto C Chile,Mini hidroeléctrica,80.9,"Alteración del paisaje, Ruido ambiental, Generación de residuos","Tecnologías limpias en procesos, Monitoreo de fauna","Conservación de áreas protegidas, Reubicación de especies","Remediación de suelos, Reposición de vegetación nativa",2015,2015
🇨🇱 Chile,Proyecto A Chile,Eólico,268.9,"Generación de residuos, Consumo hídrico","Monitoreo de fauna, Tecnologías limpias en procesos","Reubicación de especies, Conservación de áreas protegidas","Restauración de hábitats, Saneamiento de cuerpos de agua",2023,2024
🇨🇱 Chile,Proyecto C Chile,Mini hidroeléctrica,80.9,"Alteración del paisaje, Ruido ambiental, Generación de residuos","Tecnologías limpias en procesos, Monitoreo de fauna","Conservación de áreas protegidas, Reubicación de especies","Remediación de suelos, Reposición de vegetación nativa",2015,2015
🇨🇱 Chile,Proyecto C Chile,Mini hidroeléctrica,80.9,"Alteración del paisaje, Ruido ambiental, Generación de residuos","Tecnologías limpias en procesos, Monitoreo de fauna","Conservación de áreas protegidas, Reubicación de especies","Remediación de suelos, Reposición de vegetación nativa",2015,2015
🇨🇱 Chile,Proyecto A Chile,Eólico,268.9,"Generación de residuos, Consumo hídrico","Monitoreo de fauna, Tecnologías limpias en procesos","Reubicación de especies, Conservación de áreas protegidas","Restauración de hábitats, Saneamiento de cuerpos de agua",2023,2024
🇨🇱 Chile,Proyecto A Chile,Eólico,268.9,"Generación de residuos, Consumo hídrico","Monitoreo de fauna, Tecnologías limpias en procesos","Reubicación de especies, Conservación de áreas protegidas","Restauración de hábitats, Saneamiento de cuerpos de agua",2023,2024
🇨🇱 Chile,Proyecto C Chile,Mini hidroeléctrica,80.9,"Alteración del paisaje, Ruido ambiental, Generación de residuos","Tecnologías limpias en procesos, Monitoreo de fauna","Conservación de áreas protegidas, Reubicación de especies","Remediación de suelos, Reposición de vegetación nativa",2015,2015
🇨🇱 Chile,Proyecto B Chile,Mini hidroeléctrica,320.4,"Alteración del paisaje, Emisión de gases, Cambio en uso de suelo","Tecnologías limpias en procesos, Control de emisiones","Conservación de áreas protegidas, Proyectos comunitarios","Reposición de vegetación nativa, Reparación de caminos rurales",2015,2015
🇨🇱 Chile,Proyecto C Chile,Mini hidroeléctrica,80.9,"Alteración del paisaje, Ruido ambiental, Generación de residuos","Tecnologías limpias en procesos, Monitoreo de fauna","Conservación de áreas protegidas, Reubicación de especies","Remediación de suelos, Reposición de vegetación nativa",2015,2015
🇨🇱 Chile,Proyecto C Chile,Mini hidroeléctrica,80.9,"Alteración del paisaje, Ruido ambiental, Generación de residuos","Tecnologías limpias en procesos, Monitoreo de fauna","Conservación de áreas protegidas, Reubicación de especies","Remediación de suelos, Reposición de vegetación nativa",2015,2015
🇵🇪 Perú,Proyecto D Perú,Eólico,410.5,"Emisión de gases, Generación de residuos, Alteración del paisaje","Control de emisiones, Reforestación de áreas intervenidas","Reubicación de especies, Conservación de áreas protegidas","Remediación de suelos, Restauración de hábitats",2022,2022
🇵🇪 Perú,Proyecto E Perú,Hidrógeno verde,375.9,"Afectación a fauna, Alteración del paisaje, Generación de residuos","Tecnologías limpias en procesos, Control de emisiones","Compensación de huella de carbono, Reubicación de especies","Remediación de suelos, Reparación de caminos rurales",2017,2018
🇵🇪 Perú,Proyecto C Perú,Mini hidroeléctrica,283.6,"Alteración del paisaje, Emisión de gases, Consumo hídrico","Reforestación de áreas intervenidas, Tecnologías limpias en procesos","Compensación de huella de carbono, Mejoramiento de infraestructura local","Reparación de caminos rurales, Remediación de suelos",2014,2014
🇵🇪 Perú,Proyecto E Perú,Hidrógeno verde,375.9,"Afectación a fauna, Alteración del paisaje, Generación de residuos","Tecnologías limpias en procesos, Control de emisiones","Compensación de huella de carbono, Reubicación de especies","Remediación de suelos, Reparación de caminos rurales",2017,2018
🇵🇪 Perú,Proyecto E Perú,Hidrógeno verde,375.9,"Afectación a fauna, Alteración del paisaje, Generación de residuos","Tecnologías limpias en procesos, Control de emisiones","Compensación de huella de carbono, Reubicación de especies","Remediación de suelos, Reparación de caminos rurales",2017,2018
🇵🇪 Perú,Proyecto B Perú,Biomasa,239.8,"Emisión de gases, Alteración del paisaje, Consumo hídrico","Control de emisiones, Reforestación de áreas intervenidas","Proyectos comunitarios, Conservación de áreas protegidas","Reparación de caminos rurales, Saneamiento de cuerpos de agua",2014,2015
🇵🇪 Perú,Proyecto C Perú,Mini hidroeléctrica,283.6,"Alteración del paisaje, Emisión de gases, Consumo hídrico","Reforestación de áreas intervenidas, Tecnologías limpias en procesos","Compensación de huella de carbono, Mejoramiento de infraestructura local","Reparación de caminos rurales, Remediación de suelos",2014,2014
🇵🇪 Perú,Proyecto C Perú,Mini hidroeléctrica,283.6,"Alteración del paisaje, Emisión de gases, Consumo hídrico","Reforestación de áreas intervenidas, Tecnologías limpias en procesos","Compensación de huella de carbono, Mejoramiento de infraestructura local","Reparación de caminos rurales, Remediación de suelos",2014,2014
🇵🇪 Perú,Proyecto C Perú,Mini hidroeléctrica,283.6,"Alteración del paisaje, Emisión de gases, Consumo hídrico","Reforestación de áreas intervenidas, Tecnologías limpias en procesos","Compensación de huella de carbono, Mejoramiento de infraestructura local","Reparación de caminos rurales, Remediación de suelos",2014,2014
🇵🇪 Perú,Proyecto E Perú,Hidrógeno verde,375.9,"Afectación a fauna, Alteración del paisaje, Generación de residuos","Tecnologías limpias en procesos, Control de emisiones","Compensación de huella de carbono, Reubicación de especies","Remediación de suelos, Reparación de caminos rurales",2017,2018
🇦🇷 Argentina,Proyecto D Argentina,Mini hidroeléctrica,314.1,"Consumo hídrico, Generación de residuos, Afectación a fauna, Alteración del paisaje","Control de emisiones, Tecnologías limpias en procesos","Mejoramiento de infraestructura local, Reubicación de especies","Remediación de suelos, Reparación de caminos rurales",2012,2014
🇦🇷 Argentina,Proyecto E Argentina,Biomasa,341.0,"Ruido ambiental, Generación de residuos, Alteración del paisaje","Reforestación de áreas intervenidas, Pantallas acústicas","Compensación de huella de carbono, Reubicación de especies","Restauración de hábitats, Remediación de suelos",2019,2020
🇦🇷 Argentina,Proyecto C Argentina,Biomasa,125.4,"Cambio en uso de suelo, Afectación a fauna, Consumo hídrico, Emisión de gases","Pantallas acústicas, Tecnologías limpias en procesos","Proyectos comunitarios, Reubicación de especies","Restauración de hábitats, Remediación de suelos",2015,2017
🇦🇷 Argentina,Proyecto E Argentina,Biomasa,341.0,"Ruido ambiental, Generación de residuos, Alteración del paisaje","Reforestación de áreas intervenidas, Pantallas acústicas","Compensación de huella de carbono, Reubicación de especies","Restauración de hábitats, Remediación de suelos",2019,2020
🇦🇷 Argentina,Proyecto E Argentina,Biomasa,341.0,"Ruido ambiental, Generación de residuos, Alteración del paisaje","Reforestación de áreas intervenidas, Pantallas acústicas","Compensación de huella de carbono, Reubicación de especies","Restauración de hábitats, Remediación de suelos",2019,2020
🇦🇷 Argentina,Proyecto B Argentina,Eólico,349.9,"Cambio en uso de suelo, Afectación a fauna","Monitoreo de fauna, Pantallas acústicas","Compensación de huella de carbono, Proyectos comunitarios","Saneamiento de cuerpos de agua, Reparación de caminos rurales",2022,2024
🇦🇷 Argentina,Proyecto C Argentina,Biomasa,125.4,"Cambio en uso de suelo, Afectación a fauna, Consumo hídrico, Emisión de gases","Pantallas acústicas, Tecnologías limpias en procesos","Proyectos comunitarios, Reubicación de especies","Restauración de hábitats, Remediación de suelos",2015,2017
🇦🇷 Argentina,Proyecto C Argentina,Biomasa,125.4,"Cambio en uso de suelo, Afectación a fauna, Consumo hídrico, Emisión de gases","Pantallas acústicas, Tecnologías limpias en procesos","Proyectos comunitarios, Reubicación de especies","Restauración de hábitats, Remediación de suelos",2015,2017
🇦🇷 Argentina,Proyecto C Argentina,Biomasa,125.4,"Cambio en uso de suelo, Afectación a fauna, Consumo hídrico, Emisión de gases","Pantallas acústicas, Tecnologías limpias en procesos","Proyectos comunitarios, Reubicación de especies","Restauración de hábitats, Remediación de suelos",2015,2017
🇦🇷 Argentina,Proyecto E Argentina,Biomasa,341.0,"Ruido ambiental, Generación de residuos, Alteración del paisaje","Reforestación de áreas intervenidas, Pantallas acústicas","Compensación de huella de carbono, Reubicación de especies","Restauración de hábitats, Remediación de suelos",2019,2020
🇵🇾 Paraguay,Proyecto G Paraguay,Biomasa,26.3,"Generación de residuos, Ruido ambiental, Afectación a fauna","Monitoreo de fauna, Reforestación de áreas intervenidas","Proyectos comunitarios, Conservación de áreas protegidas","Remediación de suelos, Saneamiento de cuerpos de agua",2017,2017
🇵🇾 Paraguay,Proyecto D Paraguay,Eólico,66.0,"Generación de residuos, Ruido ambiental","Control de emisiones, Pantallas acústicas","Conservación de áreas protegidas, Reubicación de especies","Reposición de vegetación nativa, Remediación de suelos",2017,2018
🇵🇾 Paraguay,Proyecto E Paraguay,Eólico,477.7,"Afectación a fauna, Emisión de gases, Ruido ambiental, Cambio en uso de suelo","Pantallas acústicas, Monitoreo de fauna","Proyectos comunitarios, Reubicación de especies","Reposición de vegetación nativa, Remediación de suelos",2017,2017
🇵🇾 Paraguay,Proyecto G Paraguay,Biomasa,26.3,"Generación de residuos, Ruido ambiental, Afectación a fauna","Monitoreo de fauna, Reforestación de áreas intervenidas","Proyectos comunitarios, Conservación de áreas protegidas","Remediación de suelos, Saneamiento de cuerpos de agua",2017,2017
🇵🇾 Paraguay,Proyecto C Paraguay,Biomasa,355.8,"Consumo hídrico, Cambio en uso de suelo","Control de emisiones, Pantallas acústicas","Compensación de huella de carbono, Proyectos comunitarios","Saneamiento de cuerpos de agua, Reparación de caminos rurales",2012,2014
🇵🇾 Paraguay,Proyecto E Paraguay,Eólico,477.7,"Afectación a fauna, Emisión de gases, Ruido ambiental, Cambio en uso de suelo","Pantallas acústicas, Monitoreo de fauna","Proyectos comunitarios, Reubicación de especies","Reposición de vegetación nativa, Remediación de suelos",2017,2017
🇵🇾 Paraguay,Proyecto E Paraguay,Eólico,477.7,"Afectación a fauna, Emisión de gases, Ruido ambiental, Cambio en uso de suelo","Pantallas acústicas, Monitoreo de fauna","Proyectos comunitarios, Reubicación de especies","Reposición de vegetación nativa, Remediación de suelos",2017,2017
🇵🇾 Paraguay,Proyecto G Paraguay,Biomasa,26.3,"Generación de residuos, Ruido ambiental, Afectación a fauna","Monitoreo de fauna, Reforestación de áreas intervenidas","Proyectos comunitarios, Conservación de áreas protegidas","Remediación de suelos, Saneamiento de cuerpos de agua",2017,2017
🇵🇾 Paraguay,Proyecto B Paraguay,Biomasa,477.4,"Consumo hídrico, Emisión de gases, Generación de residuos, Ruido ambiental","Monitoreo de fauna, Reforestación de áreas intervenidas","Compensación de huella de carbono, Mejoramiento de infraestructura local","Restauración de hábitats, Remediación de suelos",2015,2016
🇵🇾 Paraguay,Proyecto C Paraguay,Biomasa,355.8,"Consumo hídrico, Cambio en uso de suelo","Control de emisiones, Pantallas acústicas","Compensación de huella de carbono, Proyectos comunitarios","Saneamiento de cuerpos de agua, Reparación de caminos rurales",2012,2014
🇺🇾 Uruguay,Proyecto C Uruguay,Hidrógeno verde,192.1,"Cambio en uso de suelo, Emisión de gases, Generación de residuos","Pantallas acústicas, Tecnologías limpias en procesos","Conservación de áreas protegidas, Compensación de huella de carbono","Reparación de caminos rurales, Remediación de suelos",2013,2014
🇺🇾 Uruguay,Proyecto A Uruguay,Eólico,248.2,"Alteración del paisaje, Afectación a fauna","Control de emisiones, Reforestación de áreas intervenidas","Proyectos comunitarios, Mejoramiento de infraestructura local","Reparación de caminos rurales, Saneamiento de cuerpos de agua",2013,2015
🇺🇾 Uruguay,Proyecto C Uruguay,Hidrógeno verde,192.1,"Cambio en uso de suelo, Emisión de gases, Generación de residuos","Pantallas acústicas, Tecnologías limpias en procesos","Conservación de áreas protegidas, Compensación de huella de carbono","Reparación de caminos rurales, Remediación de suelos",2013,2014
🇺🇾 Uruguay,Proyecto C Uruguay,Hidrógeno verde,192.1,"Cambio en uso de suelo, Emisión de gases, Generación de residuos","Pantallas acústicas, Tecnologías limpias en procesos","Conservación de áreas protegidas, Compensación de huella de carbono","Reparación de caminos rurales, Remediación de suelos",2013,2014
🇺🇾 Uruguay,Proyecto A Uruguay,Eólico,248.2,"Alteración del paisaje, Afectación a fauna","Control de emisiones, Reforestación de áreas intervenidas","Proyectos comunitarios, Mejoramiento de infraestructura local","Reparación de caminos rurales, Saneamiento de cuerpos de agua",2013,2015
🇺🇾 Uruguay,Proyecto A Uruguay,Eólico,248.2,"Alteración del paisaje, Afectación a fauna","Control de emisiones, Reforestación de áreas intervenidas","Proyectos comunitarios, Mejoramiento de infraestructura local","Reparación de caminos rurales, Saneamiento de cuerpos de agua",2013,2015
🇺🇾 Uruguay,Proyecto C Uruguay,Hidrógeno verde,192.1,"Cambio en uso de suelo, Emisión de gases, Generación de residuos","Pantallas acústicas, Tecnologías limpias en procesos","Conservación de áreas protegidas, Compensación de huella de carbono","Reparación de caminos rurales, Remediación de suelos",2013,2014
🇺🇾 Uruguay,Proyecto B Uruguay,Solar,30.7,"Afectación a fauna, Alteración del paisaje, Consumo hídrico, Generación de residuos","Reforestación de áreas intervenidas, Monitoreo de fauna","Compensación de huella de carbono, Conservación de áreas protegidas","Saneamiento de cuerpos de agua, Reparación de caminos rurales",2019,2020
🇺🇾 Uruguay,Proyecto C Uruguay,Hidrógeno verde,192.1,"Cambio en uso de suelo, Emisión de gases, Generación de residuos","Pantallas acústicas, Tecnologías limpias en procesos","Conservación de áreas protegidas, Compensación de huella de carbono","Reparación de caminos rurales, Remediación de suelos",2013,2014
🇺🇾 Uruguay,Proyecto C Uruguay,Hidrógeno verde,192.1,"Cambio en uso de suelo, Emisión de gases, Generación de residuos","Pantallas acústicas, Tecnologías limpias en procesos","Conservación de áreas protegidas, Compensación de huella de carbono","Reparación de caminos rurales, Remediación de suelos",2013,2014
🇧🇷 Brasil,Proyecto C Brasil,Mini hidroeléctrica,409.6,"Afectación a fauna, Emisión de gases","Pantallas acústicas, Reforestación de áreas intervenidas","Compensación de huella de carbono, Conservación de áreas protegidas","Restauración de hábitats, Reparación de caminos rurales",2011,2011
🇧🇷 Brasil,Proyecto D Brasil,Solar,220.3,"Ruido ambiental, Afectación a fauna","Pantallas acústicas, Control de emisiones","Compensación de huella de carbono, Reubicación de especies","Remediación de suelos, Restauración de hábitats",2022,2023
🇧🇷 Brasil,Proyecto A Brasil,Mini hidroeléctrica,364.1,"Consumo hídrico, Cambio en uso de suelo, Emisión de gases, Ruido ambiental","Control de emisiones, Monitoreo de fauna","Reubicación de especies, Mejoramiento de infraestructura local","Reparación de caminos rurales, Remediación de suelos",2012,2013
🇧🇷 Brasil,Proyecto C Brasil,Mini hidroeléctrica,409.6,"Afectación a fauna, Emisión de gases","Pantallas acústicas, Reforestación de áreas intervenidas","Compensación de huella de carbono, Conservación de áreas protegidas","Restauración de hábitats, Reparación de caminos rurales",2011,2011
